Year,Month,Airline,Flights,Passengers,PLF,PaxKm,MarketShare,FlightHours,Date,MonthName
2016,3,Alliance Air,960,37784.0,64.934,20673.0,0.24111079431533952,1485.0,2016-03-01,Mar 2016
2016,3,Blue Dart Aviation,507,0.0,0.0,0.0,0.0,909.0,2016-03-01,Mar 2016
2016,3,Go First,4308,655518.0,86.327,620742.0,4.183052764874094,7780.77,2016-03-01,Mar 2016
2016,3,IndiGo,21267,3023228.0,85.118,3086455.0,19.292105242334724,37886.86,2016-03-01,Mar 2016
2016,3,Jet Airways,13293,1381232.0,79.151,1200354.0,8.81404680959573,21878.0,2016-03-01,Mar 2016
2016,3,JetLite,1885,206092.0,76.988,177966.0,1.315133543881986,2995.0,2016-03-01,Mar 2016
2016,3,SpiceJet,8008,1006417.0,91.114,887421.715,6.422242279336785,10300.0,2016-03-01,Mar 2016
2016,3,Total Domestic,63444,7835402.0,82.814,7454918.115,50.0,105991.29,2016-03-01,Mar 2016
2016,3,TruJet,496,27950.0,77.893,12695.0,0.1783571538512,708.9,2016-03-01,Mar 2016
2016,3,Vistara,1427,158084.0,74.709,163102.0,1.0087804046301645,2311.23,2016-03-01,Mar 2016
2016,4,Air Costa,714,64459.0,84.009,52416.0,0.40812643884846533,879.19,2016-04-01,Apr 2016
2016,4,Air India,9008,1117795.0,79.197,1059358.0,7.077393268785125,16248.0,2016-04-01,Apr 2016
2016,4,Air India Express,146,6740.0,55.579,3631.0,0.04267475756432238,126.0,2016-04-01,Apr 2016
2016,4,Air Pegasus,398,20385.0,78.099,8338.09,0.1290689811496605,442.75,2016-04-01,Apr 2016
2016,4,AirAsia India,1110,167422.0,84.814,187232.0,1.0600435105243298,1813.0,2016-04-01,Apr 2016
2016,4,Alliance Air,918,44691.0,69.567,25333.0,0.28296403417019755,1695.0,2016-04-01,Apr 2016
2016,4,Blue Dart Aviation,482,0.0,0.0,0.0,0.0,859.1,2016-04-01,Apr 2016
2016,4,Go First,4349,676012.0,87.764,641370.0,4.2802148680374925,7780.067,2016-04-01,Apr 2016
2016,4,IndiGo,21328,3066556.0,85.832,3141475.0,19.41610294620448,37918.45,2016-04-01,Apr 2016
2016,4,Jet Airways,12302,1255053.0,78.476,1108620.0,7.946451410293101,19966.0,2016-04-01,Apr 2016
2016,4,JetLite,2124,240818.0,78.3,211297.0,1.5247551583271495,3432.0,2016-04-01,Apr 2016
2016,4,SpiceJet,8002,1021299.0,93.199,888876.861,6.466422437045235,10208.0,2016-04-01,Apr 2016
2016,4,Total Domestic,63017,7896940.0,84.031,7530391.951,50.0,104680.697,2016-04-01,Apr 2016
2016,4,TruJet,588,32830.0,78.057,14684.0,0.20786532504995606,836.49,2016-04-01,Apr 2016
2016,4,Vistara,1548,182880.0,77.862,187761.0,1.1579168640004862,2476.65,2016-04-01,Apr 2016
2016,5,Air Costa,714,65321.0,85.679,53773.46,0.3787435577762365,906.417,2016-05-01,May 2016
2016,5,Air India,9390,1246137.0,85.057,1193980.0,7.225338878103611,17137.0,2016-05-01,May 2016
2016,5,Air India Express,170,12727.0,74.013,9490.0,0.07379356194513498,181.0,2016-05-01,May 2016
2016,5,Air Pegasus,398,21015.0,80.031,8661.54,0.12184895924232039,445.85,2016-05-01,May 2016
2016,5,AirAsia India,1218,190379.0,86.76,215828.0,1.1038535813273238,2050.0,2016-05-01,May 2016
2016,5,Alliance Air,1005,50046.0,70.887,28705.0,0.29017620814852085,1809.0,2016-05-01,May 2016
2016,5,Blue Dart Aviation,503,0.0,0.0,0.0,0.0,900.5,2016-05-01,May 2016
2016,5,Go First,4490,700766.0,88.585,670288.0,4.063174293238348,8085.966,2016-05-01,May 2016
2016,5,IndiGo,22781,3336839.0,87.237,3408589.0,19.347625948569362,40739.85,2016-05-01,May 2016
2016,5,Jet Airways,12812,1387661.0,82.615,1230675.0,8.045921895367954,21040.0,2016-05-01,May 2016
2016,5,JetLite,2172,254309.0,80.856,225511.0,1.4745318570523558,3576.0,2016-05-01,May 2016
2016,5,QuikJet Cargo,50,0.0,0.0,0.0,0.0,111.783,2016-05-01,May 2016
2016,5,SpiceJet,8659,1096114.0,93.521,943748.375,6.355477045488307,10946.0,2016-05-01,May 2016
2016,5,Total Domestic,66878,8623381.0,86.436,8231315.375,50.0,111832.976,2016-05-01,May 2016
2016,5,TruJet,719,40842.0,80.696,18372.0,0.23680966896858666,1024.38,2016-05-01,May 2016
2016,5,Vistara,1797,221225.0,80.108,223694.0,1.2827045447719403,2879.23,2016-05-01,May 2016
2016,6,Air Costa,698,62187.0,81.51,49822.0,0.39191226489329,876.183,2016-06-01,Jun 2016
2016,6,Air India,8972,1156490.0,82.532,1116084.0,7.288382060984465,16245.0,2016-06-01,Jun 2016
2016,6,Air India Express,145,7897.0,66.913,4344.0,0.049768137325523196,125.0,2016-06-01,Jun 2016
2016,6,Air Pegasus,278,14296.0,75.21,5457.34,0.09009564280178291,306.683,2016-06-01,Jun 2016
2016,6,AirAsia India,1080,173192.0,90.175,205349.0,1.091483251827531,1863.0,2016-06-01,Jun 2016
2016,6,Alliance Air,955,44202.0,65.504,25925.0,0.2785679632851432,1745.0,2016-06-01,Jun 2016
2016,6,Blue Dart Aviation,515,0.0,0.0,0.0,0.0,911.5,2016-06-01,Jun 2016
2016,6,Go First,4431,663991.0,84.578,612664.0,4.184575822579647,7960.98,2016-06-01,Jun 2016
2016,6,IndiGo,23025,3023081.0,77.853,3088436.0,19.05193242423452,41265.45,2016-06-01,Jun 2016
2016,6,Jet Airways,12342,1290114.0,79.079,1125175.0,8.13050154711663,20435.0,2016-06-01,Jun 2016
2016,6,JetLite,2086,226769.0,75.166,199153.0,1.4291339411386057,3388.0,2016-06-01,Jun 2016
2016,6,QuikJet Cargo,57,0.0,0.0,0.0,0.0,126.983,2016-06-01,Jun 2016
2016,6,SpiceJet,8072,1010110.0,93.039,877889.454,6.365872254512377,10238.0,2016-06-01,Jun 2016
2016,6,Total Domestic,65144,7933791.0,81.002,7567262.794,50.0,109407.942,2016-06-01,Jun 2016
2016,6,TruJet,598,34524.0,80.975,15548.0,0.2175756835540538,833.083,2016-06-01,Jun 2016
